Provinsi,Tahun,AHH_Y,Rata_Lama_Sekolah_X1,Pengeluaran_Per_Kapita_X2,Garis_Kemiskinan_X3
Aceh,2019,69.91,9.59,9603,490593
Aceh,2020,69.97,9.71,9492,527168
Aceh,2021,70.0,9.77,9572,547406
Aceh,2022,70.21,9.79,9963,586078
Aceh,2023,70.38,9.89,10334,634890
Bali,2019,72.0,9.19,14146,395956
Bali,2020,72.16,9.31,13929,422180
Bali,2021,72.28,9.45,13820,442456
Bali,2022,72.61,9.74,13942,474634
Bali,2023,73.03,9.74,14382,517167
Banten,2019,69.89,9.07,12267,448312
Banten,2020,70.0,9.22,11964,494249
Banten,2021,70.07,9.29,12033,517318
Banten,2022,70.41,9.46,12216,554540
Banten,2023,70.82,9.48,12601,599324
Bengkulu,2019,69.2,9.08,10409,510213
Bengkulu,2020,69.37,9.2,10380,539616
Bengkulu,2021,69.47,9.26,10487,564380
Bengkulu,2022,69.71,9.28,10840,606894
Bengkulu,2023,69.97,9.35,11172,654022
DI Yogyakarta,2019,74.94,9.83,14394,415750
DI Yogyakarta,2020,75.03,9.95,14015,445173
DI Yogyakarta,2021,75.08,10.04,14111,460624
DI Yogyakarta,2022,75.11,10.07,14482,499702
DI Yogyakarta,2023,75.22,10.16,14924,549434
DKI Jakarta,2019,72.82,11.11,18527,637260
DKI Jakarta,2020,72.95,11.17,18227,680401
DKI Jakarta,2021,73.06,11.2,18520,697638
DKI Jakarta,2022,73.34,11.3,18927,738955
DKI Jakarta,2023,73.75,11.42,19373,792515
Gorontalo,2019,67.97,8.11,10075,333798
Gorontalo,2020,68.12,8.26,10020,369006
Gorontalo,2021,68.24,8.32,10157,389284
Gorontalo,2022,68.55,8.39,10687,411734
Gorontalo,2023,68.89,8.48,11069,441905
Jambi,2019,71.04,8.86,10592,465238
Jambi,2020,71.17,8.97,10392,501268
Jambi,2021,71.26,9.03,10588,527253
Jambi,2022,71.53,9.07,10871,569760
Jambi,2023,71.82,9.16,11160,625922
Jawa Barat,2019,72.92,8.79,11152,382920
Jawa Barat,2020,73.15,8.96,10845,408496
Jawa Barat,2021,73.38,9.03,10934,425294
Jawa Barat,2022,73.62,9.14,11277,451979
Jawa Barat,2023,74.1,9.16,11695,493607
Jawa Tengah,2019,74.25,8.03,11102,369244
Jawa Tengah,2020,74.41,8.19,10930,395284
Jawa Tengah,2021,74.52,8.26,11034,408982
Jawa Tengah,2022,74.62,8.38,11377,438632
Jawa Tengah,2023,74.78,8.44,11835,477257
Jawa Timur,2019,71.22,8.11,11739,397029
Jawa Timur,2020,71.34,8.31,11601,415339
Jawa Timur,2021,71.43,8.37,11707,428069
Jawa Timur,2022,71.76,8.5,11992,459696
Jawa Timur,2023,72.16,8.53,12421,505564
Kalimantan Barat,2019,70.61,7.8,9055,442872
Kalimantan Barat,2020,70.73,7.9,8930,478162
Kalimantan Barat,2021,70.81,8.0,8974,490352
Kalimantan Barat,2022,71.04,8.1,9355,529418
Kalimantan Barat,2023,71.36,8.17,9810,572340
Kalimantan Selatan,2019,68.5,8.59,12253,457110
Kalimantan Selatan,2020,68.69,8.69,12032,497001
Kalimantan Selatan,2021,68.88,8.74,12143,518806
Kalimantan Selatan,2022,69.18,8.89,12469,552424
Kalimantan Selatan,2023,69.47,8.95,12953,604010
Kalimantan Tengah,2019,69.69,8.83,11236,433606
Kalimantan Tengah,2020,69.75,8.95,11154,482144
Kalimantan Tengah,2021,69.81,9.03,11182,504448
Kalimantan Tengah,2022,70.05,9.03,11458,545294
Kalimantan Tengah,2023,70.33,9.07,11878,592024
Kalimantan Timur,2019,74.27,9.88,12359,605836
Kalimantan Timur,2020,74.38,9.99,11728,659295
Kalimantan Timur,2021,74.65,10.09,12116,684730
Kalimantan Timur,2022,74.66,10.13,12641,725372
Kalimantan Timur,2023,74.79,10.17,13202,786239
Kalimantan Utara,2019,72.48,9.24,9343,644696
Kalimantan Utara,2020,72.53,9.3,8756,673539
Kalimantan Utara,2021,72.59,9.4,9075,702615
Kalimantan Utara,2022,72.62,9.45,9350,762250
Kalimantan Utara,2023,72.73,9.53,9734,808365
KEP. Bangka Belitung,2019,70.54,8.35,12959,678244
KEP. Bangka Belitung,2020,70.68,8.49,12794,721602
KEP. Bangka Belitung,2021,70.78,8.54,12819,753174
KEP. Bangka Belitung,2022,71.02,8.57,13358,802766
KEP. Bangka Belitung,2023,71.28,8.66,13589,876340
KEP. Riau,2019,69.83,10.13,14466,577071
KEP. Riau,2020,69.99,10.22,14209,605996
KEP. Riau,2021,70.16,10.38,14122,629674
KEP. Riau,2022,70.53,10.46,14469,673276
KEP. Riau,2023,70.97,10.52,14998,727713
Lampung,2019,70.56,8.36,10114,431296
Lampung,2020,70.69,8.51,9982,467282
Lampung,2021,70.78,8.56,10038,483607
Lampung,2022,71.02,8.61,10336,526545
Lampung,2023,71.3,8.72,10769,572594
Maluku,2019,65.87,10.03,8887,510046
Maluku,2020,66.03,10.2,8732,555156
Maluku,2021,66.14,10.25,8770,588605
Maluku,2022,66.48,10.37,8876,632276
Maluku,2023,66.84,10.38,9278,685296
Maluku Utara,2019,68.21,9.32,8308,453645
Maluku Utara,2020,68.38,9.42,8032,470422
Maluku Utara,2021,68.5,9.51,8140,497451
Maluku Utara,2022,68.81,9.6,8398,522680
Maluku Utara,2023,69.16,9.61,8834,575062
Nusa Tenggara Barat,2019,66.24,7.98,10640,385410
Nusa Tenggara Barat,2020,66.51,8.08,10351,405474
Nusa Tenggara Barat,2021,66.73,8.13,10377,423548
Nusa Tenggara Barat,2022,67.1,8.31,10681,459698
Nusa Tenggara Barat,2023,67.52,8.39,11095,498572
Nusa Tenggara Timur,2019,66.9,7.98,7769,397654
Nusa Tenggara Timur,2020,67.06,8.09,7598,435300
Nusa Tenggara Timur,2021,67.19,8.2,7554,447277
Nusa Tenggara Timur,2022,67.49,8.25,7877,493910
Nusa Tenggara Timur,2023,67.81,8.31,8248,542969
Papua,2019,65.69,6.85,7336,554430
Papua,2020,65.84,6.96,6954,576905
Papua,2021,65.97,7.05,6955,604106
Papua,2022,66.25,7.31,7146,642490
Papua,2023,66.49,7.34,7562,702618
Papua Barat,2019,65.9,9.92,8125,576239
Papua Barat,2020,66.05,10.0,8086,613012
Papua Barat,2021,66.19,10.03,7929,634261
Papua Barat,2022,66.49,10.14,8101,670866
Papua Barat,2023,66.84,10.14,8404,734074
Riau,2019,71.53,9.35,11255,502565
Riau,2020,71.65,9.47,10675,548446
Riau,2021,71.72,9.52,10736,571038
Riau,2022,71.97,9.54,11158,612116
Riau,2023,72.28,9.6,11448,665472
Sulawesi Barat,2019,64.87,8.22,9235,328410
Sulawesi Barat,2020,65.11,8.33,9168,352344
Sulawesi Barat,2021,65.29,8.39,9153,366104
Sulawesi Barat,2022,65.67,8.47,9358,405041
Sulawesi Barat,2023,66.06,8.48,9718,434778
Sulawesi Selatan,2019,70.48,8.73,11118,330610
Sulawesi Selatan,2020,70.62,8.86,11079,351552
Sulawesi Selatan,2021,70.71,8.95,11184,374067
Sulawesi Selatan,2022,71.0,9.09,11430,401293
Sulawesi Selatan,2023,71.26,9.12,11841,437696
Sulawesi Tengah,2019,68.29,8.98,9604,445532
Sulawesi Tengah,2020,68.75,9.09,9335,478826
Sulawesi Tengah,2021,68.88,9.18,9378,499308
Sulawesi Tengah,2022,68.97,9.17,9696,531842
Sulawesi Tengah,2023,69.22,9.22,10149,571066
Sulawesi Tenggara,2019,71.16,9.25,9436,329037
Sulawesi Tenggara,2020,71.34,9.41,9331,358041
Sulawesi Tenggara,2021,71.36,9.52,9381,382004
Sulawesi Tenggara,2022,71.45,9.59,9708,407588
Sulawesi Tenggara,2023,71.53,9.62,10117,447674
Sulawesi Utara,2019,71.63,9.63,11115,370901
Sulawesi Utara,2020,71.75,9.74,10791,390970
Sulawesi Utara,2021,71.81,9.83,10882,410396
Sulawesi Utara,2022,72.1,9.87,11179,426530
Sulawesi Utara,2023,72.45,9.94,11497,462802
Sumatera Barat,2019,69.36,9.22,10925,504974
Sumatera Barat,2020,69.52,9.34,10733,545198
Sumatera Barat,2021,69.63,9.46,10790,568559
Sumatera Barat,2022,69.94,9.51,11130,610505
Sumatera Barat,2023,70.24,9.59,11380,667612
Sumatera Selatan,2019,69.7,8.6,10937,418246
Sumatera Selatan,2020,69.93,8.68,10652,445600
Sumatera Selatan,2021,70.03,8.78,10662,463427
Sumatera Selatan,2022,70.34,8.82,11109,491532
Sumatera Selatan,2023,70.71,8.9,11472,528395
Sumatera Utara,2019,69.0,9.71,10649,464741
Sumatera Utara,2020,69.15,9.83,10420,501468
Sumatera Utara,2021,69.28,9.88,10499,523885
Sumatera Utara,2022,69.63,9.99,10848,558702
Sumatera Utara,2023,70.03,10.07,11049,600141
